รหัสสถานี,ชื่อผู้ได้รับใบอนุญาต,ชื่อสถานี,ความถี่,ประเภทบริการ/กิจการ,สถานะใบอนุญาต ปี 2567 (eBcs),อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,ตรวจสอบมาตรฐาน 2566 ,ตรวจสอบมาตรฐาน 2567 ,ตรวจการแพร่แปลกปลอม ,ยื่นคำขอ 10/1/68   ,หมายเหตุ
05520296,ห้างหุ้นส่วนจำกัด ทองบูรพา มีเดียกรุ๊ป,คนรักถิ่น,88.75,บริการธุรกิจ,ได้รับอนุญาต,คูเมือง,บุรีรัมย์,15.136746,103.033832,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-02 00:00:00,
05520335,ห้างหุ้นส่วนจำกัด พัธนชัย 89,บัวทองเรดิโอ,89.0,บริการธุรกิจ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,15.054648,103.158097,,,ตรวจปี 2567 แล้ว,2567-12-16 00:00:00,
05520389,ห้างหุ้นส่วนจำกัด สวัสดี รุ่งเรืองการเกษตร,แฮมเรดิโอ,89.0,บริการธุรกิจ,ได้รับอนุญาต,โนนสุวรรณ,บุรีรัมย์,14.551278,102.550344,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ยังไม่ตรวจ,-,
05540037,ห้างหุ้นส่วนจำกัด สถานีวิทยุน้ำตาลตะวัน,น้ำตาลตะวัน,89.75,บริการธุรกิจ,ได้รับอนุญาต,หนองหงส์,บุรีรัมย์,14.889275,102.617893,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520362,ห้างหุ้นส่วนจำกัด ลูกทุ่งแม็กซาโก้ (เมืองบุรีรัมย์),ห้างหุ้นส่วนจำกัด ลูกทุ่งแม็กซาโก้ (เมืองบุรีรัมย์),90.0,บริการธุรกิจ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,15.010702,103.084413,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-19 00:00:00,
05520293,ห้างหุ้นส่วนจำกัด พลชา เรดิโอ,คนบุรีรัมย์,90.0,บริการธุรกิจ,ได้รับอนุญาต,หนองกี่,บุรีรัมย์,14.671424,102.534267,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-26 00:00:00,
05520312,ห้างหุ้นส่วนจำกัด บ้านใหม่ เรดิโอ,บ้านใหม่เรดิโอ,90.0,บริการธุรกิจ,ได้รับอนุญาต,บ้านใหม่ไชยพจน์,บุรีรัมย์,15.566141,102.838049,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520316,ห้างหุ้นส่วนจำกัด วิภูดิศ มีเดีย,อิสาณเรดิโอ,90.5,บริการธุรกิจ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,14.983651,103.095889,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ยังไม่ตรวจ,-,
05540064,ห้างหุ้นส่วนจำกัด เค.ที. มีเดีย กรุ๊ป,โฮมเวฟ,90.75,บริการธุรกิจ,ได้รับอนุญาต,ละหานทราย,บุรีรัมย์,14.415822,102.860803,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ยังไม่ตรวจ,2567-12-24 00:00:00,
05520291,ห้างหุ้นส่วนจำกัด อ.อะไหล่กรุ๊ป,ลูกทุ่งอินเตอร์,91.0,บริการธุรกิจ,ได้รับอนุญาต,นางรอง,บุรีรัมย์,14.633698,102.784497,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520308,ห้างหุ้นส่วนจำกัด ไก่แก้วห้วยทับทัน,คลื่นรักษ์ไทย,91.25,บริการธุรกิจ,ได้รับอนุญาต,หนองหงส์,บุรีรัมย์,14.916274,102.616268,ตรงตามมาตรฐาน,ไม่ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-20 00:00:00,
05520313,ห้างหุ้นส่วนจำกัด ดับบลิว.เอ.กรุ๊ป,news fm,91.5,บริการธุรกิจ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,14.934659,103.089088,,,ยังไม่ตรวจ,-,
05520369,ห้างหุ้นส่วนจำกัด พระคุ้ม เรดิโอ,วัดโนนดินแดงใต้,91.75,บริการธุรกิจ,ได้รับอนุญาต,โนนดินแดง,บุรีรัมย์,14.311548,102.752521,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520367,วัดโพธิ์ทรายทอง,ท้องถิ่นธรรม,92.25,บริการสาธารณะ,ได้รับอนุญาต,ละหานทราย,บุรีรัมย์,14.413943,102.854082,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-16 00:00:00,
05520320,ห้างหุ้นส่วนจำกัด พิพัฒน์ เซลส์ แอนด์ เซอร์วิส,ภูมิใจเรดิโอ,92.5,บริการธุรกิจ,ได้รับอนุญาต,กระสัง,บุรีรัมย์,14.881299,103.293419,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-03 00:00:00,
05520319,ห้างหุ้นส่วนจำกัด พญาเมืองพุท,ท้องถิ่นไทย พุทไธสง,92.5,บริการธุรกิจ,ได้รับอนุญาต,พุทไธสง,บุรีรัมย์,15.54239,103.004431,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520310,สหกรณ์การเกษตรลำปลายมาศ จำกัด,โคออป เรดิโอ,92.5,บริการธุรกิจ,ได้รับอนุญาต,ลำปลายมาศ,บุรีรัมย์,15.026631,102.83589,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520368,ห้างหุ้นส่วนจำกัด สวัสดีเจริญรุ่งเรืองกิจ,วทท. อ.โนนสุวรรณ,92.75,บริการธุรกิจ,ได้รับอนุญาต,โนนสุวรรณ,บุรีรัมย์,14.547061,102.56991,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520378,มูลนิธิเสียงธรรมเพื่อประชาชน ในพระอุปถัมภ์ สมเด็จพระเจ้าน้องนางเธอ เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี กรมพระศรีสวางควัฒน วรขัตติยราชนารี,เสียงธรรมเพื่อประชาชนฯ วัดป่าเขาน้อย,93.0,บริการสาธารณะ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,14.930027,103.095407,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520328,วัดศรีสำโรง,บริการสาธารณะเพื่อพระพุทธศาสนาและสังคมวัดศรีสำโรง,93.75,บริการสาธารณะ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,14.991095,103.015516,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-25 00:00:00,
05520351,ห้างหุ้นส่วนจำกัด พาเจริญ เรดิโอ,มวลชนคนโนนดินแดง,93.75,บริการธุรกิจ,ได้รับอนุญาต,โนนดินแดง,บุรีรัมย์,14.31119,102.747576,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-16 00:00:00,
05520274,ห้างหุ้นส่วนจำกัด อ.อะไหล่กรุ๊ป,DFM,94.0,บริการธุรกิจ,ได้รับอนุญาต,นางรอง,บุรีรัมย์,14.634089,102.784718,,ตรงตามมาตรฐาน,ยังไม่ตรวจ,2567-11-28 00:00:00,
05520365,ห้างหุ้นส่วนจำกัด 99 สตึก มีเดีย กรุ๊ป,วทท. เบสเรดิโอ,94.25,บริการธุรกิจ,ได้รับอนุญาต,สตึก,บุรีรัมย์,15.299646,103.244093,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520380,บริษัท น้ำคาวตอง เรดิโอ จำกัด,เสียงจากปะคำ,94.5,บริการธุรกิจ,ได้รับอนุญาต,ปะคำ,บุรีรัมย์,14.448309,102.683323,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-27 00:00:00,
05520326,ห้างหุ้นส่วนจำกัด ตองหนึ่ง เรดิโอ,นิวสเตชั่น,95.5,บริการธุรกิจ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,15.005476,103.062348,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-07 00:00:00,
05520382,ห้างหุ้นส่วนจำกัด แกรนด์ แสนสุข,แสนสุข,96.0,บริการธุรกิจ,ได้รับอนุญาต,ละหานทราย,บุรีรัมย์,14.413556,102.85184,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-25 00:00:00,
05520356,ห้างหุ้นส่วนจำกัด โปโลพุทไธสง,เรดิโอคนลูกทุ่ง,96.0,บริการธุรกิจ,ได้รับอนุญาต,พุทไธสง,บุรีรัมย์,15.530908,102.999324,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-09 00:00:00,
05550008,ห้างหุ้นส่วนจำกัด เคเอส มีเดีย กรุ๊ป,เคเอส เรดิโอ,96.0,บริการธุรกิจ,ได้รับอนุญาต,สตึก,บุรีรัมย์,15.226159,103.190984,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ยังไม่ตรวจ,2567-12-27 00:00:00,
05540080,ห้างหุ้นส่วนจำกัด ปฏิวัติ เรดิโอ,คนรักสุขภาพปะคำ,96.25,บริการธุรกิจ,ได้รับอนุญาต,ปะคำ,บุรีรัมย์,14.36659,102.692382,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-20 00:00:00,
05520295,ห้างหุ้นส่วนจำกัด รักถิ่น เรดิโอ,คนรักถิ่น,96.25,บริการธุรกิจ,ได้รับอนุญาต,หนองหงส์,บุรีรัมย์,14.846889,102.684845,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-04 00:00:00,
05520284,ห้างหุ้นส่วนจำกัด เอฟ.เอ็ม. อารมณ์ดีบุรีรัมย์,เอฟ.เอ็ม. อารมณ์ดีบุรีรัมย์,97.0,บริการธุรกิจ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,14.998281,103.113809,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520324,บริษัท ฮันนี่เรดิโอ จำกัด,นางรอง FM,97.25,บริการธุรกิจ,ได้รับอนุญาต,นางรอง,บุรีรัมย์,14.6262,102.79115,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-02 00:00:00,
05520364,กลุ่มคนคริสตจักรประโคนชัย,ไลฟ์ เรดิโอ,97.25,บริการชุมชน,ได้รับอนุญาต,ประโคนชัย,บุรีรัมย์,14.622814,103.084994,,ตรงตามมาตรฐาน,ยังไม่ตรวจ,2567-11-25 00:00:00,
05520307,ห้างหุ้นส่วนจำกัด เรดิโอ หรรษา,คลื่นมหาชนคนปะคำ,97.5,บริการธุรกิจ,ได้รับอนุญาต,ปะคำ,บุรีรัมย์,14.436561,102.685814,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-03 00:00:00,
05540017,ห้างหุ้นส่วนจำกัด ตะวันออกซุปเปอร์เรดิโอ,ตะวันออกซุปเปอร์เรดิโอ,97.75,บริการธุรกิจ,ได้รับอนุญาต,ลำปลายมาศ,บุรีรัมย์,15.025956,102.833839,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-12 00:00:00,
05520278,บริษัท ลูกทุ่งเน็ตเวิร์ก จำกัด,BIG FM ,98.0,บริการธุรกิจ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,14.986229,103.116108,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520358,ห้างหุ้นส่วนจำกัด ก้องฤทธิ์,ลำปลายมาศ,98.5,บริการธุรกิจ,ได้รับอนุญาต,ลำปลายมาศ,บุรีรัมย์,15.02813,102.819887,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-18 00:00:00,
05520341,ห้างหุ้นส่วนจำกัด พีพี เรดิโอ,พีพีเรดิโอ,98.75,บริการธุรกิจ,ได้รับอนุญาต,ละหานทราย,บุรีรัมย์,14.430854,102.852235,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-06 00:00:00,
05520374,ห้างหุ้นส่วนจำกัด 99 สตึก มีเดีย กรุ๊ป,สตึก เรดิโอ สเตชั่น,99.0,บริการธุรกิจ,ได้รับอนุญาต,สตึก,บุรีรัมย์,15.276929,103.276517,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520287,ห้างหุ้นส่วนจำกัด อ.อะไหล่กรุ๊ป,HOT RADIO,99.0,บริการธุรกิจ,ได้รับอนุญาต,นางรอง,บุรีรัมย์,14.634089,102.784718,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520332,วัดหนองบัวทอง,วัดหนองบัวทอง,99.25,บริการสาธารณะ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,15.055022,103.158278,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-23 00:00:00,
05520334,ห้างหุ้นส่วนจำกัด บุรีรัมย์เวิลด์,บ้านกรวดเวิลด์,99.25,บริการธุรกิจ,ได้รับอนุญาต,บ้านกรวด,บุรีรัมย์,14.389844,103.134384,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-11 00:00:00,
05520360,บริษัท ลูกทุ่งเน็ตเวิร์ก จำกัด,ลูกทุ่งเน็ตเวิร์ก ,100.25,บริการธุรกิจ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,14.986229,103.116108,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520361,ห้างหุ้นส่วนจำกัด ลูกทุ่งแม็กซาโก้(โนนสุวรรณ),ห้างหุ้นส่วนจำกัด ลูกทุ่งแม็กซาโก้ (โนนสุวรรณ),100.5,บริการธุรกิจ,ได้รับอนุญาต,โนนสุวรรณ,บุรีรัมย์,14.569993,102.61723,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-19 00:00:00,
05520383,ห้างหุ้นส่วนจำกัด หินเหล็กไฟ เรดิโอ,หินเหล็กไฟ,101.0,บริการธุรกิจ,ได้รับอนุญาต,คูเมือง,บุรีรัมย์,15.232663,103.053195,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-11 00:00:00,
05520286,ห้างหุ้นส่วนจำกัด เค.ที. มีเดีย กรุ๊ป,HOME WAVE,101.0,บริการธุรกิจ,ได้รับอนุญาต,ละหานทราย,บุรีรัมย์,14.439056,102.87938,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ยังไม่ตรวจ,2567-12-24 00:00:00,
05520311,ห้างหุ้นส่วนจำกัด ชำนิเรดิโอ,ชำนิ เรดิโอ,101.25,บริการธุรกิจ,ได้รับอนุญาต,ชำนิ,บุรีรัมย์,14.786932,102.818256,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520355,ห้างหุ้นส่วนจำกัด พญาเมืองพุท,ลูกทุ่งตั้งถาวร,102.0,บริการธุรกิจ,ได้รับอนุญาต,พุทไธสง,บุรีรัมย์,15.54239,103.004431,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520333,ห้างหุ้นส่วนจำกัด วิทยุบ้านกรวด,บ้านกรวด,102.25,บริการธุรกิจ,ได้รับอนุญาต,บ้านกรวด,บุรีรัมย์,14.389844,103.134384,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-10 00:00:00,
05520375,ห้างหุ้นส่วนจำกัด สยามเรดิโอ 102.25,สยาม เรดิโอ,102.25,บริการธุรกิจ,ได้รับอนุญาต,ลำปลายมาศ,บุรีรัมย์,15.021914,102.82847,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-27 00:00:00,
05520277,ห้างหุ้นส่วนจำกัด ลูกทุ่งแม็กซาโก้ (นางรอง),ห้างหุ้นส่วนจำกัด ลูกทุ่งแม็กซาโก้ (นางรอง),102.5,บริการธุรกิจ,ได้รับอนุญาต,นางรอง,บุรีรัมย์,14.659247,102.781083,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-19 00:00:00,
05520354,ห้างหุ้นส่วนจำกัด แคนเรดิโอ,แดนเรดิโอ,102.5,บริการธุรกิจ,ได้รับอนุญาต,แคนดง,บุรีรัมย์,15.322417,103.131857,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-25 00:00:00,
05520345,วัดกทลิวนาราม,เพื่อพระพุทธศาสนาและสังคม วัดกทลิวนาราม,102.75,บริการสาธารณะ,ได้รับอนุญาต,กระสัง,บุรีรัมย์,14.978434,103.26718,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-22 00:00:00,
05520377,มูลนิธิเสียงธรรมเพื่อประชาชน ในพระอุปถัมภ์ สมเด็จพระเจ้าน้องนางเธอ เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี กรมพระศรีสวางควัฒน วรขัตติยราชนารี,เสียงธรรมเพื่อประชาชนฯ วัดป่ากองพระทราย,102.75,บริการสาธารณะ,ได้รับอนุญาต,ปะคำ,บุรีรัมย์,14.413616,102.727621,,,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520330,วัดบ้านปราสาท,คลื่นบริการสาธารณะเพื่อพระพุทธศาสนา วัดบ้านปราสาท,103.0,บริการสาธารณะ,ได้รับอนุญาต,บ้านด่าน,บุรีรัมย์,15.09854,103.195116,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ยังไม่ตรวจ,2567-11-24 00:00:00,
05520379,มูลนิธิเสียงธรรมเพื่อประชาชน ในพระอุปถัมภ์ สมเด็จพระเจ้าน้องนางเธอ เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี กรมพระศรีสวางควัฒน วรขัตติยราชนารี,เสียงธรรมเพื่อประชาชนฯ สำนักสงฆ์บ้านโคกกลาง,103.25,บริการสาธารณะ,ได้รับอนุญาต,ประโคนชัย,บุรีรัมย์,14.622162,103.054239,,,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520273,ห้างหุ้นส่วนจำกัด เอ็น วาย อี เรดิโอ,Family FM สถานีส่งเสริมสถาบันครอบครัว,103.5,บริการธุรกิจ,ได้รับอนุญาต,ลำปลายมาศ,บุรีรัมย์,15.021457,102.836739,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-25 00:00:00,
05520297,ห้างหุ้นส่วนจำกัด ชิติพันธ์ บันเทิง,คนรักถิ่น,103.5,บริการธุรกิจ,ได้รับอนุญาต,ห้วยราช,บุรีรัมย์,15.100313,103.314798,ตรงตามมาตรฐาน,,ยังไม่ตรวจ,-,
05520353,สมาคมเทียนธรรมสิริ,เมล็ดธรรมราชนครินทร์,103.75,บริการสาธารณะ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,15.004809,103.094548,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-30 00:00:00,
05540062,ห้างหุ้นส่วนจำกัด ทองทำมา,คนหนองคูพัฒนา,104.0,บริการธุรกิจ,ได้รับอนุญาต,ลำปลายมาศ,บุรีรัมย์,15.03698,102.85269,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-17 00:00:00,
05520337,วัดท่าสว่าง,พระพุทธศาสนาจังหวัดบุรีรัมย์,104.25,บริการสาธารณะ,ได้รับอนุญาต,กระสัง,บุรีรัมย์,14.933691,103.307006,ตรงตามมาตรฐาน,,ยังไม่ตรวจ,2567-11-14 00:00:00,
05520303,บริษัท บิ๊กสอ เรดิโอ จำกัด,คลื่นคนไทยหัวใจลูกทุ่ง,104.25,บริการธุรกิจ,ได้รับอนุญาต,นางรอง,บุรีรัมย์,14.633878,102.7364,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520363,ห้างหุ้นส่วนจำกัด บุรีรัมย์เจริญชัยการโยธา,ชุมเห็ด เรดิโอ,104.5,บริการธุรกิจ,ยกเลิก,เมืองบุรีรัมย์,บุรีรัมย์,15.037872,103.084748,ตรงตามมาตรฐาน,,,,ตามมติ กสทช. 1/2567 ลว 10 ม.ค. 2567
05520294,ห้างหุ้นส่วนจำกัด ภาคภูมิใจเรดิโอ,ภาคภูมิใจเรดิโอ,104.75,บริการธุรกิจ,ยกเลิก,สตึก,บุรีรัมย์,15.299462,103.234022,,,,,ตามมติ กสทช. 9/2567 ลว 24 เม.ย. 2567
05540002,ห้างหุ้นส่วนจำกัด บ้านกรวดเรดิโอ,บ้านกรวด เรดิโอ,105.25,บริการธุรกิจ,ได้รับอนุญาต,บ้านกรวด,บุรีรัมย์,14.457181,103.101846,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520342,สำนักงานคณะกรรมการการอาชีวศึกษา,เพื่อการศึกษาและพัฒนาอาชีพ (R-Radio Network) วิทยาลัยเทคนิคนางรอง,105.5,บริการสาธารณะ,ได้รับอนุญาต,นางรอง,บุรีรัมย์,14.642835,102.801041,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-21 00:00:00,
05520318,ห้างหุ้นส่วนจำกัด นางรองสงวนเต็นท์,ท้องถิ่นไทย,105.75,บริการธุรกิจ,ได้รับอนุญาต,นางรอง,บุรีรัมย์,14.645578,102.791078,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-13 00:00:00,
05520281,ห้างหุ้นส่วนจำกัด มะโนบาล มีเดีย กรุ๊ป,มะโนบาล เรดิโอ,105.75,บริการธุรกิจ,ได้รับอนุญาต,แคนดง,บุรีรัมย์,15.329645,103.17455,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520336,วัดท่าสว่าง,พระพุทธศาสนาวัดท่าสว่าง,106.0,บริการสาธารณะ,ได้รับอนุญาต,กระสัง,บุรีรัมย์,14.933691,103.307006,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-14 00:00:00,
05520314,ห้างหุ้นส่วนจำกัด สวัสดีลูกทุ่ง,สวัสดีลูกทุ่ง,106.25,บริการธุรกิจ,ได้รับอนุญาต,เมืองบุรีรัมย์,บุรีรัมย์,14.825572,102.994128,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-06 00:00:00,
05520322,ห้างหุ้นส่วนจำกัด ลูกทุ่งแม็กซาโก้(พุทไธสง),ลูกทุ่งแม็กซาโก้ (พุทไธสง),106.25,บริการธุรกิจ,ได้รับอนุญาต,พุทไธสง,บุรีรัมย์,15.540641,103.007564,,,ตรวจปี 2567 แล้ว,-,
05520359,สมาคมสมัชชามวลชนเพื่อความมั่นคง,ลำปลายมาศเรดิโอ,106.5,บริการสาธารณะ,ได้รับอนุญาต,ลำปลายมาศ,บุรีรัมย์,15.020596,102.829774,,,ยังไม่ตรวจ,2567-11-09 00:00:00,
05540092,ห้างหุ้นส่วนจำกัด บุรีรัมย์ยูเนี่ยนเอ็นจิเนียริ่ง,สตาร์เรดิโอ,106.75,บริการธุรกิจ,ได้รับอนุญาต,ประโคนชัย,บุรีรัมย์,14.611494,103.11015,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-26 00:00:00,
05520331,วัดบ้านปราสาท,คลื่นบริการสาธารณะเพื่อพระพุทธศาสนาวัดบ้านปราสาท,106.75,บริการสาธารณะ,ได้รับอนุญาต,บ้านด่าน,บุรีรัมย์,15.09854,103.195116,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ยังไม่ตรวจ,2567-11-24 00:00:00,
05520343,สำนักงานคณะกรรมการการอาชีวศึกษา,เพื่อการศึกษาและพัฒนาอาชีพ (R-Radio Network) วิทยาลัยเทคนิคคูเมือง,107.0,บริการสาธารณะ,ได้รับอนุญาต,คูเมือง,บุรีรัมย์,15.258127,103.003911,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-21 00:00:00,
05520299,กลุ่มคนคนรักวัด,วิทยุชุมชนคนรักวัด,107.75,บริการชุมชน,ได้รับอนุญาต,หนองหงส์,บุรีรัมย์,14.85157,102.677654,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-11 00:00:00,
